流域,行政区划,河名,站名,时间,水位(m),超警戒水位(m),抓取时间
大凌河,辽宁,西河,复兴堡,2026-09-09 08:00:00,46.8,--,2026-09-09 09:27:56
大凌河,辽宁,西河,复兴堡,2026-09-10 08:00:00,46.8,--,2026-09-10 09:26:23
大凌河,辽宁,西河,复兴堡,2026-09-11 08:00:00,46.8,--,2026-09-11 09:26:07
大凌河,辽宁,西河,复兴堡,2026-09-12 08:00:00,46.8,--,2026-09-12 09:24:56
大凌河,辽宁,西河,复兴堡,2026-09-13 08:00:00,46.8,--,2026-09-13 09:26:03
大凌河,辽宁,西河,复兴堡,2026-09-14 08:00:00,46.8,--,2026-09-14 09:27:14
大凌河,辽宁,西河,复兴堡,2026-09-15 08:00:00,46.8,--,2026-09-15 09:29:45
大凌河,辽宁,西河,复兴堡,2026-09-16 08:00:00,46.8,--,2026-09-16 09:26:25
大凌河,辽宁,西河,复兴堡,2026-09-17 08:00:00,46.8,--,2026-09-17 09:27:07
大凌河,辽宁,西河,复兴堡,2026-09-18 08:00:00,46.8,--,2026-09-18 09:25:44
大凌河,辽宁,西河,复兴堡,2026-09-19 08:00:00,46.8,--,2026-09-19 09:26:16
大凌河,辽宁,西河,复兴堡,2026-09-22 08:00:00,46.78,--,2026-09-22 09:26:19
大凌河,辽宁,西河,复兴堡,2026-09-23 08:00:00,46.78,--,2026-09-23 09:26:47
大凌河,辽宁,西河,复兴堡,2026-09-24 08:00:00,46.78,--,2026-09-24 09:26:28
大凌河,辽宁,西河,复兴堡,2026-09-25 08:00:00,46.78,--,2026-09-25 09:26:15
大凌河,辽宁,西河,复兴堡,2026-09-26 08:00:00,46.8,--,2026-09-26 09:25:48
