流域,行政区划,河名,站名,时间,水位(m),超警戒水位(m),抓取时间
韩江,广东,汀江,溪口,2026-09-09 08:00:00,8.66,--,2026-09-09 09:27:56
韩江,广东,汀江,溪口,2026-09-10 08:00:00,8.4,--,2026-09-10 09:26:23
韩江,广东,汀江,溪口,2026-09-11 08:00:00,8.29,--,2026-09-11 09:26:07
韩江,广东,汀江,溪口,2026-09-12 08:00:00,8.27,--,2026-09-12 09:24:56
韩江,广东,汀江,溪口,2026-09-13 08:00:00,8.34,--,2026-09-13 09:26:03
韩江,广东,汀江,溪口,2026-09-14 08:00:00,8.0,--,2026-09-14 09:27:14
韩江,广东,汀江,溪口,2026-09-15 08:00:00,7.93,--,2026-09-15 09:29:45
韩江,广东,汀江,溪口,2026-09-16 08:00:00,8.17,--,2026-09-16 09:26:25
韩江,广东,汀江,溪口,2026-09-17 08:00:00,8.04,--,2026-09-17 09:27:07
韩江,广东,汀江,溪口,2026-09-18 08:00:00,7.91,--,2026-09-18 09:25:44
韩江,广东,汀江,溪口,2026-09-19 08:00:00,8.1,--,2026-09-19 09:26:16
韩江,广东,汀江,溪口,2026-09-22 08:00:00,8.15,--,2026-09-22 09:26:19
韩江,广东,汀江,溪口,2026-09-23 08:00:00,7.99,--,2026-09-23 09:26:47
韩江,广东,汀江,溪口,2026-09-24 08:00:00,7.5,--,2026-09-24 09:26:28
韩江,广东,汀江,溪口,2026-09-25 08:00:00,7.7,--,2026-09-25 09:26:15
