流域,行政区划,河名,站名,时间,水位(m),超警戒水位(m),抓取时间
内陆河湖,新疆,阿拉沟,阿拉沟(二),2026-09-09 08:00:00,784.04,--,2026-09-09 09:27:56
内陆河湖,新疆,阿拉沟,阿拉沟(二),2026-09-10 08:00:00,784.04,--,2026-09-10 09:26:23
内陆河湖,新疆,阿拉沟,阿拉沟(二),2026-09-11 08:00:00,784.04,--,2026-09-11 09:26:07
内陆河湖,新疆,阿拉沟,阿拉沟(二),2026-09-12 08:00:00,784.04,--,2026-09-12 09:24:56
内陆河湖,新疆,阿拉沟,阿拉沟(二),2026-09-13 08:00:00,784.04,--,2026-09-13 09:26:03
内陆河湖,新疆,阿拉沟,阿拉沟(二),2026-09-14 08:00:00,784.04,--,2026-09-14 09:27:14
内陆河湖,新疆,阿拉沟,阿拉沟(二),2026-09-15 08:00:00,784.03,--,2026-09-15 09:29:45
内陆河湖,新疆,阿拉沟,阿拉沟(二),2026-09-16 08:00:00,784.05,--,2026-09-16 09:26:25
内陆河湖,新疆,阿拉沟,阿拉沟(二),2026-09-18 08:00:00,784.03,--,2026-09-18 09:25:44
内陆河湖,新疆,阿拉沟,阿拉沟(二),2026-09-19 08:00:00,784.03,--,2026-09-19 09:26:16
