流域,行政区划,河名,站名,时间,水位(m),超警戒水位(m),抓取时间
长江流域,江西,赣江,泰和,2026-09-09 08:00:00,58.11,--,2026-09-09 09:27:56
长江流域,江西,赣江,泰和,2026-09-10 08:00:00,57.78,--,2026-09-10 09:26:23
长江流域,江西,赣江,泰和,2026-09-11 08:00:00,57.73,--,2026-09-11 09:26:07
长江流域,江西,赣江,泰和,2026-09-12 08:00:00,57.79,--,2026-09-12 09:24:56
长江流域,江西,赣江,泰和,2026-09-13 08:00:00,57.7,--,2026-09-13 09:26:03
长江流域,江西,赣江,泰和,2026-09-14 08:00:00,57.63,--,2026-09-14 09:27:14
长江流域,江西,赣江,泰和,2026-09-15 08:00:00,57.64,--,2026-09-15 09:29:45
长江流域,江西,赣江,泰和,2026-09-16 08:00:00,57.26,--,2026-09-16 09:26:25
长江流域,江西,赣江,泰和,2026-09-17 08:00:00,57.18,--,2026-09-17 09:27:07
长江流域,江西,赣江,泰和,2026-09-18 08:00:00,57.17,--,2026-09-18 09:25:44
长江流域,江西,赣江,泰和,2026-09-19 08:00:00,57.28,--,2026-09-19 09:26:16
长江流域,江西,赣江,泰和,2026-09-22 08:00:00,57.06,--,2026-09-22 09:26:19
长江流域,江西,赣江,泰和,2026-09-23 08:00:00,57.01,--,2026-09-23 09:26:47
长江流域,江西,赣江,泰和,2026-09-24 08:00:00,57.12,--,2026-09-24 09:26:28
