流域,行政区划,河名,站名,时间,水位(m),超警戒水位(m),抓取时间
长江流域,江西,乌江,新田,2026-09-09 08:00:00,48.67,--,2026-09-09 09:27:56
长江流域,江西,乌江,新田,2026-09-10 08:00:00,48.56,--,2026-09-10 09:26:23
长江流域,江西,乌江,新田,2026-09-11 08:00:00,48.49,--,2026-09-11 09:26:07
长江流域,江西,乌江,新田,2026-09-12 08:00:00,48.39,--,2026-09-12 09:24:56
长江流域,江西,乌江,新田,2026-09-13 08:00:00,48.34,--,2026-09-13 09:26:03
长江流域,江西,乌江,新田,2026-09-14 08:00:00,48.31,--,2026-09-14 09:27:14
长江流域,江西,乌江,新田,2026-09-15 08:00:00,48.28,--,2026-09-15 09:29:45
长江流域,江西,乌江,新田,2026-09-16 08:00:00,48.25,--,2026-09-16 09:26:25
长江流域,江西,乌江,新田,2026-09-17 08:00:00,48.23,--,2026-09-17 09:27:07
长江流域,江西,乌江,新田,2026-09-18 08:00:00,48.16,--,2026-09-18 09:25:44
长江流域,江西,乌江,新田,2026-09-19 08:00:00,48.13,--,2026-09-19 09:26:16
