流域,行政区划,河名,站名,时间,水位(m),超警戒水位(m),抓取时间
塔里木河,新疆,博斯腾湖,博斯腾湖,2026-09-08 08:00:00,1045.79,--,2026-09-09 09:27:56
塔里木河,新疆,博斯腾湖,博斯腾湖,2026-09-10 08:00:00,1045.79,--,2026-09-10 09:26:23
塔里木河,新疆,博斯腾湖,博斯腾湖,2026-09-11 08:00:00,1045.8,--,2026-09-11 09:26:07
塔里木河,新疆,博斯腾湖,博斯腾湖,2026-09-12 08:00:00,1045.81,--,2026-09-12 09:24:56
塔里木河,新疆,博斯腾湖,博斯腾湖,2026-09-13 08:00:00,1045.81,--,2026-09-13 09:26:03
塔里木河,新疆,博斯腾湖,博斯腾湖,2026-09-14 08:00:00,1045.81,--,2026-09-14 09:27:14
塔里木河,新疆,博斯腾湖,博斯腾湖,2026-09-15 08:00:00,1045.81,--,2026-09-15 09:29:45
塔里木河,新疆,博斯腾湖,博斯腾湖,2026-09-16 08:00:00,1045.82,--,2026-09-16 09:26:25
塔里木河,新疆,博斯腾湖,博斯腾湖,2026-09-17 08:00:00,1045.83,--,2026-09-17 09:27:07
塔里木河,新疆,博斯腾湖,博斯腾湖,2026-09-18 08:00:00,1045.84,--,2026-09-18 09:25:44
塔里木河,新疆,博斯腾湖,博斯腾湖,2026-09-19 08:00:00,1045.84,--,2026-09-19 09:26:16
