流域,行政区划,河名,站名,时间,水位(m),超警戒水位(m),抓取时间
松花江,吉林,洮儿河,洮南,2026-09-09 08:00:00,145.29,--,2026-09-09 09:27:56
松花江,吉林,洮儿河,洮南,2026-09-10 08:00:00,145.18,--,2026-09-10 09:26:23
松花江,吉林,洮儿河,洮南,2026-09-11 08:00:00,145.16,--,2026-09-11 09:26:07
松花江,吉林,洮儿河,洮南,2026-09-12 08:00:00,145.11,--,2026-09-12 09:24:56
松花江,吉林,洮儿河,洮南,2026-09-13 08:00:00,145.06,--,2026-09-13 09:26:03
松花江,吉林,洮儿河,洮南,2026-09-14 08:00:00,145.0,--,2026-09-14 09:27:14
松花江,吉林,洮儿河,洮南,2026-09-15 08:00:00,144.99,--,2026-09-15 09:29:45
松花江,吉林,洮儿河,洮南,2026-09-16 08:00:00,145.06,--,2026-09-16 09:26:25
松花江,吉林,洮儿河,洮南,2026-09-17 08:00:00,145.07,--,2026-09-17 09:27:07
松花江,吉林,洮儿河,洮南,2026-09-18 08:00:00,145.04,--,2026-09-18 09:25:44
松花江,吉林,洮儿河,洮南,2026-09-19 08:00:00,145.04,--,2026-09-19 09:26:16
松花江,吉林,洮儿河,洮南,2026-09-21 08:00:00,145.03,--,2026-09-22 09:26:19
松花江,吉林,洮儿河,洮南,2026-09-23 08:00:00,145.02,--,2026-09-23 09:26:47
松花江,吉林,洮儿河,洮南,2026-09-24 08:00:00,145.03,--,2026-09-24 09:26:28
松花江,吉林,洮儿河,洮南,2026-09-25 08:00:00,145.02,--,2026-09-25 09:26:15
