流域,行政区划,河名,站名,时间,水位(m),超警戒水位(m),抓取时间
长江,贵州,鱼梁河,禾丰,2026-09-09 08:00:00,906.48,--,2026-09-09 09:27:56
长江,贵州,鱼梁河,禾丰,2026-09-10 08:00:00,906.17,--,2026-09-10 09:26:23
长江,贵州,鱼梁河,禾丰,2026-09-11 08:00:00,906.26,--,2026-09-11 09:26:07
长江,贵州,鱼梁河,禾丰,2026-09-12 08:00:00,906.3,--,2026-09-12 09:24:56
长江,贵州,鱼梁河,禾丰,2026-09-13 08:00:00,906.36,--,2026-09-13 09:26:03
长江,贵州,鱼梁河,禾丰,2026-09-14 08:00:00,906.2,--,2026-09-14 09:27:14
长江,贵州,鱼梁河,禾丰,2026-09-15 08:00:00,906.23,--,2026-09-15 09:29:45
长江,贵州,鱼梁河,禾丰,2026-09-16 08:00:00,906.23,--,2026-09-16 09:26:25
长江,贵州,鱼梁河,禾丰,2026-09-17 08:00:00,906.24,--,2026-09-17 09:27:07
长江,贵州,鱼梁河,禾丰,2026-09-18 08:00:00,906.26,--,2026-09-18 09:25:44
长江,贵州,鱼梁河,禾丰,2026-09-19 08:00:00,906.22,--,2026-09-19 09:26:16
长江,贵州,鱼梁河,禾丰,2026-09-22 08:00:00,906.19,--,2026-09-22 09:26:19
