流域,行政区划,河名,站名,时间,水位(m),超警戒水位(m),抓取时间
辽河,辽宁,养息牧河,小荒地,2026-09-09 08:00:00,34.84,--,2026-09-09 09:27:56
辽河,辽宁,养息牧河,小荒地,2026-09-10 08:00:00,34.84,--,2026-09-10 09:26:23
辽河,辽宁,养息牧河,小荒地,2026-09-11 08:00:00,34.84,--,2026-09-11 09:26:07
辽河,辽宁,养息牧河,小荒地,2026-09-12 08:00:00,34.83,--,2026-09-12 09:24:56
辽河,辽宁,养息牧河,小荒地,2026-09-13 08:00:00,34.83,--,2026-09-13 09:26:03
辽河,辽宁,养息牧河,小荒地,2026-09-14 08:00:00,34.82,--,2026-09-14 09:27:14
辽河,辽宁,养息牧河,小荒地,2026-09-15 08:00:00,34.82,--,2026-09-15 09:29:45
辽河,辽宁,养息牧河,小荒地,2026-09-16 08:00:00,34.82,--,2026-09-16 09:26:25
辽河,辽宁,养息牧河,小荒地,2026-09-17 08:00:00,34.82,--,2026-09-17 09:27:07
辽河,辽宁,养息牧河,小荒地,2026-09-18 08:00:00,34.82,--,2026-09-18 09:25:44
辽河,辽宁,养息牧河,小荒地,2026-09-19 08:00:00,34.81,--,2026-09-19 09:26:16
辽河,辽宁,养息牧河,小荒地,2026-09-22 08:00:00,34.8,--,2026-09-22 09:26:19
