流域,行政区划,河名,站名,时间,水位(m),超警戒水位(m),抓取时间
海河,河北,子牙新河,周官屯,2026-09-09 08:00:00,1.41,--,2026-09-09 09:27:56
海河,河北,子牙新河,周官屯,2026-09-10 08:00:00,1.34,--,2026-09-10 09:26:23
海河,河北,子牙新河,周官屯,2026-09-11 08:00:00,1.19,--,2026-09-11 09:26:07
海河,河北,子牙新河,周官屯,2026-09-12 08:00:00,1.01,--,2026-09-12 09:24:56
海河,河北,子牙新河,周官屯,2026-09-13 08:00:00,0.76,--,2026-09-13 09:26:03
海河,河北,子牙新河,周官屯,2026-09-14 08:00:00,0.71,--,2026-09-14 09:27:14
海河,河北,子牙新河,周官屯,2026-09-15 08:00:00,0.71,--,2026-09-15 09:29:45
海河,河北,子牙新河,周官屯,2026-09-16 08:00:00,0.71,--,2026-09-16 09:26:25
海河,河北,子牙新河,周官屯,2026-09-17 08:00:00,0.7,--,2026-09-17 09:27:07
海河,河北,子牙新河,周官屯,2026-09-18 08:00:00,0.7,--,2026-09-18 09:25:44
海河,河北,子牙新河,周官屯,2026-09-19 08:00:00,0.71,--,2026-09-19 09:26:16
海河,河北,子牙新河,周官屯,2026-09-22 08:00:00,0.7,--,2026-09-22 09:26:19
海河,河北,子牙新河,周官屯,2026-09-23 08:00:00,0.7,--,2026-09-23 09:26:47
