流域,行政区划,河名,站名,时间,水位(m),超警戒水位(m),抓取时间
长江,四川,小槽河-塘河（狮头河）,天堂岩,2026-09-09 08:00:00,235.87,--,2026-09-09 09:27:56
长江,四川,小槽河-塘河（狮头河）,天堂岩,2026-09-10 08:00:00,235.68,--,2026-09-10 09:26:23
长江,四川,小槽河-塘河（狮头河）,天堂岩,2026-09-11 08:00:00,235.67,--,2026-09-11 09:26:07
长江,四川,小槽河-塘河（狮头河）,天堂岩,2026-09-12 08:00:00,235.3,--,2026-09-12 09:24:56
长江,四川,小槽河-塘河（狮头河）,天堂岩,2026-09-13 08:00:00,235.31,--,2026-09-13 09:26:03
长江,四川,小槽河-塘河（狮头河）,天堂岩,2026-09-14 08:00:00,235.3,--,2026-09-14 09:27:14
长江,四川,小槽河-塘河（狮头河）,天堂岩,2026-09-16 08:00:00,235.29,--,2026-09-16 09:26:25
长江,四川,小槽河-塘河（狮头河）,天堂岩,2026-09-17 08:00:00,236.17,--,2026-09-17 09:27:07
长江,四川,小槽河-塘河（狮头河）,天堂岩,2026-09-18 08:00:00,235.6,--,2026-09-18 09:25:44
长江,四川,小槽河-塘河（狮头河）,天堂岩,2026-09-19 08:00:00,235.38,--,2026-09-19 09:26:16
长江,四川,小槽河-塘河（狮头河）,天堂岩,2026-09-22 08:00:00,235.62,--,2026-09-22 09:26:19
