流域,行政区划,河名,站名,时间,水位(m),超警戒水位(m),抓取时间
黄河,陕西,洛河,灵口,2026-09-09 08:00:00,763.64,--,2026-09-09 09:27:56
黄河,陕西,洛河,灵口,2026-09-10 08:00:00,763.71,--,2026-09-10 09:26:23
黄河,陕西,洛河,灵口,2026-09-11 08:00:00,763.69,--,2026-09-11 09:26:07
黄河,陕西,洛河,灵口,2026-09-12 08:00:00,763.67,--,2026-09-12 09:24:56
黄河,陕西,洛河,灵口,2026-09-13 08:00:00,763.64,--,2026-09-13 09:26:03
黄河,陕西,洛河,灵口,2026-09-14 08:00:00,763.61,--,2026-09-14 09:27:14
黄河,陕西,洛河,灵口,2026-09-15 08:00:00,763.57,--,2026-09-15 09:29:45
黄河,陕西,洛河,灵口,2026-09-16 08:00:00,763.59,--,2026-09-16 09:26:25
黄河,陕西,洛河,灵口,2026-09-17 08:00:00,763.58,--,2026-09-17 09:27:07
黄河,陕西,洛河,灵口,2026-09-18 08:00:00,763.58,--,2026-09-18 09:25:44
