流域,行政区划,河名,站名,时间,水位(m),超警戒水位(m),抓取时间
绕阳河,辽宁,羊肠河,司屯,2026-09-09 08:00:00,17.47,--,2026-09-09 09:27:56
绕阳河,辽宁,羊肠河,司屯,2026-09-10 08:00:00,17.5,--,2026-09-10 09:26:23
绕阳河,辽宁,羊肠河,司屯,2026-09-11 08:00:00,17.47,--,2026-09-11 09:26:07
绕阳河,辽宁,羊肠河,司屯,2026-09-12 08:00:00,17.47,--,2026-09-12 09:24:56
绕阳河,辽宁,羊肠河,司屯,2026-09-13 08:00:00,17.41,--,2026-09-13 09:26:03
绕阳河,辽宁,羊肠河,司屯,2026-09-14 08:00:00,17.37,--,2026-09-14 09:27:14
绕阳河,辽宁,羊肠河,司屯,2026-09-15 08:00:00,17.34,--,2026-09-15 09:29:45
绕阳河,辽宁,羊肠河,司屯,2026-09-16 08:00:00,17.31,--,2026-09-16 09:26:25
绕阳河,辽宁,羊肠河,司屯,2026-09-17 08:00:00,17.3,--,2026-09-17 09:27:07
绕阳河,辽宁,羊肠河,司屯,2026-09-18 08:00:00,17.31,--,2026-09-18 09:25:44
绕阳河,辽宁,羊肠河,司屯,2026-09-19 08:00:00,17.28,--,2026-09-19 09:26:16
绕阳河,辽宁,羊肠河,司屯,2026-09-22 08:00:00,17.27,--,2026-09-22 09:26:19
绕阳河,辽宁,羊肠河,司屯,2026-09-23 08:00:00,17.25,--,2026-09-23 09:26:47
绕阳河,辽宁,羊肠河,司屯,2026-09-24 08:00:00,17.25,--,2026-09-24 09:26:28
绕阳河,辽宁,羊肠河,司屯,2026-09-25 08:00:00,17.26,--,2026-09-25 09:26:15
绕阳河,辽宁,羊肠河,司屯,2026-09-26 08:00:00,17.29,--,2026-09-26 09:25:48
