流域,行政区划,河名,站名,时间,水位(m),超警戒水位(m),抓取时间
长江,湖北,汉江,岳口,2026-09-09 08:00:00,26.8,--,2026-09-09 09:27:56
长江,湖北,汉江,岳口,2026-09-10 08:00:00,26.92,--,2026-09-10 09:26:23
长江,湖北,汉江,岳口,2026-09-11 08:00:00,26.58,--,2026-09-11 09:26:07
长江,湖北,汉江,岳口,2026-09-12 08:00:00,26.39,--,2026-09-12 09:24:56
长江,湖北,汉江,岳口,2026-09-13 08:00:00,26.47,--,2026-09-13 09:26:03
长江,湖北,汉江,岳口,2026-09-14 08:00:00,26.48,--,2026-09-14 09:27:14
长江,湖北,汉江,岳口,2026-09-15 08:00:00,26.51,--,2026-09-15 09:29:45
长江,湖北,汉江,岳口,2026-09-16 08:00:00,26.52,--,2026-09-16 09:26:25
长江,湖北,汉江,岳口,2026-09-17 08:00:00,26.71,--,2026-09-17 09:27:07
长江,湖北,汉江,岳口,2026-09-18 08:00:00,27.04,--,2026-09-18 09:25:44
